"rank","name","pop2019","area","region","subregion"
1,"China","1433783.6860",9706961,"Asia","Eastern Asia"
2,"India","1366417.7540",3287590,"Asia","Southern Asia"
3,"United States","329064.9170",9372610,"Americas","Northern America"
4,"Indonesia","270625.5680",1904569,"Asia","South-Eastern Asia"
5,"Pakistan","216565.3180",881912,"Asia","Southern Asia"
6,"Brazil","211049.5270",8515767,"Americas","South America"
7,"Nigeria","200963.5990",923768,"Africa","Western Africa"
8,"Bangladesh","163046.1610",147570,"Asia","Southern Asia"
9,"Russia","145872.2560",17098242,"Europe","Eastern Europe"
10,"Mexico","127575.5290",1964375,"Americas","Central America"
11,"Japan","126860.3010",377930,"Asia","Eastern Asia"
12,"Ethiopia","112078.7300",1104300,"Africa","Eastern Africa"
13,"Philippines","108116.6150",342353,"Asia","South-Eastern Asia"
14,"Egypt","100388.0730",1002450,"Africa","Northern Africa"
15,"Vietnam","96462.1060",331212,"Asia","South-Eastern Asia"
16,"DR Congo","86790.5670",2344858,"Africa","Middle Africa"
17,"Germany","83517.0450",357114,"Europe","Western Europe"
18,"Turkey","83429.6150",783562,"Asia","Western Asia"
19,"Iran","82913.9060",1648195,"Asia","Southern Asia"
20,"Thailand","69625.5820",513120,"Asia","South-Eastern Asia"
21,"United Kingdom","67530.1720",242900,"Europe","Northern Europe"
22,"France","65129.7280",551695,"Europe","Western Europe"
23,"Italy","60550.0750",301336,"Europe","Southern Europe"
24,"South Africa","58558.2700",1221037,"Africa","Southern Africa"
25,"Tanzania","58005.4630",945087,"Africa","Eastern Africa"
26,"Myanmar","54045.4200",676578,"Asia","South-Eastern Asia"
27,"Kenya","52573.9730",580367,"Africa","Eastern Africa"
28,"South Korea","51225.3080",100210,"Asia","Eastern Asia"
29,"Colombia","50339.4430",1141748,"Americas","South America"
30,"Spain","46736.7760",505992,"Europe","Southern Europe"
31,"Argentina","44780.6770",2780400,"Americas","South America"
32,"Uganda","44269.5940",241550,"Africa","Eastern Africa"
33,"Ukraine","43993.6380",603500,"Europe","Eastern Europe"
34,"Algeria","43053.0540",2381741,"Africa","Northern Africa"
35,"Sudan","42813.2380",1886068,"Africa","Northern Africa"
36,"Iraq","39309.7830",438317,"Asia","Western Asia"
37,"Afghanistan","38041.7540",652230,"Asia","Southern Asia"
38,"Poland","37887.7680",312679,"Europe","Eastern Europe"
39,"Canada","37411.0470",9984670,"Americas","Northern America"
40,"Morocco","36471.7690",446550,"Africa","Northern Africa"
41,"Saudi Arabia","34268.5280",2149690,"Asia","Western Asia"
42,"Uzbekistan","32981.7160",447400,"Asia","Central Asia"
43,"Peru","32510.4530",1285216,"Americas","South America"
44,"Malaysia","31949.7770",330803,"Asia","South-Eastern Asia"
45,"Angola","31825.2950",1246700,"Africa","Middle Africa"
46,"Ghana","30417.8560",238533,"Africa","Western Africa"
47,"Mozambique","30366.0360",801590,"Africa","Eastern Africa"
48,"Yemen","29161.9220",527968,"Asia","Western Asia"
49,"Nepal","28608.7100",147181,"Asia","Southern Asia"
50,"Venezuela","28515.8290",916445,"Americas","South America"
51,"Madagascar","26969.3070",587041,"Africa","Eastern Africa"
52,"Cameroon","25876.3800",475442,"Africa","Middle Africa"
53,"Ivory Coast","25716.5440",322463,"Africa","Western Africa"
54,"North Korea","25666.1610",120538,"Asia","Eastern Asia"
55,"Australia","25203.1980",7692024,"Oceania","Australia and New Zealand"
56,"Taiwan","23773.8760",36193,"Asia","Eastern Asia"
57,"Niger","23310.7150",1267000,"Africa","Western Africa"
58,"Sri Lanka","21323.7330",65610,"Asia","Southern Asia"
59,"Burkina Faso","20321.3780",272967,"Africa","Western Africa"
60,"Mali","19658.0310",1240192,"Africa","Western Africa"
61,"Romania","19364.5570",238391,"Europe","Eastern Europe"
62,"Chile","18952.0380",756102,"Americas","South America"
63,"Malawi","18628.7470",118484,"Africa","Eastern Africa"
64,"Kazakhstan","18551.4270",2724900,"Asia","Central Asia"
65,"Zambia","17861.0300",752612,"Africa","Eastern Africa"
66,"Guatemala","17581.4720",108889,"Americas","Central America"
67,"Ecuador","17373.6620",276841,"Americas","South America"
68,"Netherlands","17097.1300",41850,"Europe","Western Europe"
69,"Syria","17070.1350",185180,"Asia","Western Asia"
70,"Cambodia","16486.5420",181035,"Asia","South-Eastern Asia"
71,"Senegal","16296.3640",196722,"Africa","Western Africa"
72,"Chad","15946.8760",1284000,"Africa","Middle Africa"
73,"Somalia","15442.9050",637657,"Africa","Eastern Africa"
74,"Zimbabwe","14645.4680",390757,"Africa","Eastern Africa"
75,"Guinea","12771.2460",245857,"Africa","Western Africa"
76,"Rwanda","12626.9500",26338,"Africa","Eastern Africa"
77,"Benin","11801.1510",112622,"Africa","Western Africa"
78,"Tunisia","11694.7190",163610,"Africa","Northern Africa"
79,"Belgium","11539.3280",30528,"Europe","Western Europe"
80,"Burundi","11530.5800",27834,"Africa","Eastern Africa"
81,"Bolivia","11513.1000",1098581,"Americas","South America"
82,"Cuba","11333.4830",109884,"Americas","Caribbean"
83,"Haiti","11263.0770",27750,"Americas","Caribbean"
84,"South Sudan","11062.1130",619745,"Africa","Middle Africa"
85,"Dominican Republic","10738.9580",48671,"Americas","Caribbean"
86,"Czech Republic","10689.2090",78865,"Europe","Eastern Europe"
87,"Greece","10473.4550",131990,"Europe","Southern Europe"
88,"Portugal","10226.1870",92090,"Europe","Southern Europe"
89,"Jordan","10101.6940",89342,"Asia","Western Asia"
90,"Azerbaijan","10047.7180",86600,"Asia","Western Asia"
91,"Sweden","10036.3790",450295,"Europe","Northern Europe"
92,"United Arab Emirates","9770.5290",83600,"Asia","Western Asia"
93,"Honduras","9746.1170",112492,"Americas","Central America"
94,"Hungary","9684.6790",93028,"Europe","Eastern Europe"
95,"Belarus","9452.4110",207600,"Europe","Eastern Europe"
96,"Tajikistan","9321.0180",143100,"Asia","Central Asia"
97,"Austria","8955.1020",83871,"Europe","Western Europe"
98,"Papua New Guinea","8776.1090",462840,"Oceania","Melanesia"
99,"Serbia","8772.2350",88361,"Europe","Southern Europe"
100,"Switzerland","8591.3650",41284,"Europe","Western Europe"
101,"Israel","8519.3770",20770,"Asia","Western Asia"
102,"Togo","8082.3660",56785,"Africa","Western Africa"
103,"Sierra Leone","7813.2150",71740,"Africa","Western Africa"
104,"Hong Kong","7436.1540",1104,"Asia","Eastern Asia"
105,"Laos","7169.4550",236800,"Asia","South-Eastern Asia"
106,"Paraguay","7044.6360",406752,"Americas","South America"
107,"Bulgaria","7000.1190",110879,"Europe","Eastern Europe"
108,"Lebanon","6855.7130",10452,"Asia","Western Asia"
109,"Libya","6777.4520",1759540,"Africa","Northern Africa"
110,"Nicaragua","6545.5020",130373,"Americas","Central America"
111,"El Salvador","6453.5530",21041,"Americas","Central America"
112,"Kyrgyzstan","6415.8500",199951,"Asia","Central Asia"
113,"Turkmenistan","5942.0890",488100,"Asia","Central Asia"
114,"Singapore","5804.3370",710,"Asia","South-Eastern Asia"
115,"Denmark","5771.8760",43094,"Europe","Northern Europe"
116,"Finland","5532.1560",338424,"Europe","Northern Europe"
117,"Slovakia","5457.0130",49037,"Europe","Eastern Europe"
118,"Republic of the Congo","5380.5080",342000,"Africa","Middle Africa"
119,"Norway","5378.8570",323802,"Europe","Northern Europe"
120,"Costa Rica","5047.5610",51100,"Americas","Central America"
121,"Palestine","4981.4200",6220,"Asia","Western Asia"
122,"Oman","4974.9860",309500,"Asia","Western Asia"
123,"Liberia","4937.3740",111369,"Africa","Western Africa"
124,"Ireland","4882.4950",70273,"Europe","Northern Europe"
125,"New Zealand","4783.0630",270467,"Oceania","Australia and New Zealand"
126,"Central African Republic","4745.1850",622984,"Africa","Middle Africa"
127,"Mauritania","4525.6960",1030700,"Africa","Western Africa"
128,"Panama","4246.4390",75417,"Americas","Central America"
129,"Kuwait","4207.0830",17818,"Asia","Western Asia"
130,"Croatia","4130.3040",56594,"Europe","Southern Europe"
131,"Moldova","4043.2630",33846,"Europe","Eastern Europe"
132,"Georgia","3996.7650",69700,"Asia","Western Asia"
133,"Eritrea","3497.1170",117600,"Africa","Eastern Africa"
134,"Uruguay","3461.7340",181034,"Americas","South America"
135,"Bosnia and Herzegovina",3301,51209,"Europe","Southern Europe"
136,"Mongolia","3225.1670",1564110,"Asia","Eastern Asia"
137,"Armenia","2957.7310",29743,"Asia","Western Asia"
138,"Jamaica","2948.2790",10991,"Americas","Caribbean"
139,"Puerto Rico","2933.4080",8870,"Americas","Caribbean"
140,"Albania","2880.9170",28748,"Europe","Southern Europe"
141,"Qatar","2832.0670",11586,"Asia","Western Asia"
142,"Lithuania","2759.6270",65300,"Europe","Northern Europe"
143,"Namibia","2494.5300",825615,"Africa","Southern Africa"
144,"Gambia","2347.7060",10689,"Africa","Western Africa"
