"name","touristArrivals","tourismReceipts","pop2019"
"France",82700000,54531000000,"65129.7280"
"United States",76407000,206902000000,"329064.9170"
"Spain",75315000,60503000000,"46736.7760"
"China",59270000,44432000000,"1433783.6860"
"Italy",52372000,40246000000,"60550.0750"
"United Kingdom",35814000,47906000000,"67530.1720"
"Germany",35595000,37455000000,"83517.0450"
"Mexico",35079000,19650000000,"127575.5290"
"Thailand",32588000,48792000000,"69625.5820"
"Turkey",30289000,18743000000,"83429.6150"
"Austria",28121000,19260000000,"8955.1020"
"Malaysia",26757000,18075000000,"31949.7770"
"Hong Kong",26553000,32846000000,"7436.1540"
"Greece",24799000,14619000000,"10473.4550"
"Russia",24571000,7785000000,"145872.2560"
"Japan",24039000,30679000000,"126860.3010"
"Canada",19971000,18021000000,"37411.0470"
"Portugal",18200000,771000000,"10226.1870"
"Saudi Arabia",18044000,11096000000,"34268.5280"
"Poland",17463000,10977000000,"37887.7680"
"South Korea",17242000,17332000000,"51225.3080"
"Netherlands",15828000,14054000000,"17097.1300"
"Hungary",15256000,5664000000,"9684.6790"
"United Arab Emirates",14870000,19496000000,"9770.5290"
"India",14570000,22427000000,"1366417.7540"
"Croatia",13809000,9634000000,"4130.3040"
"Ukraine",13333000,1078000000,"43993.6380"
"Singapore",12914000,18945000000,"5804.3370"
"Czech Republic",12808000,6309000000,"10689.2090"
"Indonesia",11072000,11206000000,"270625.5680"
"Denmark",10781000,7047000000,"5771.8760"
"Taiwan",10690000,13375000000,"23773.8760"
"Switzerland",10402000,16257000000,"8591.3650"
"Morocco",10332000,6549000000,"36471.7690"
"Ireland",10100000,5186000000,"4882.4950"
"South Africa",10044000,7910000000,"58558.2700"
"Vietnam",10013000,8250000000,"96462.1060"
"Syria",8546000,6190000000,"17070.1350"
"Australia",8269000,37040000000,"25203.1980"
"Bulgaria",8252000,3634000000,"7000.1190"
"Belgium",7481000,11612000000,"11539.3280"
"Argentina",6638000,4686000000,"44780.6770"
"Sweden",6559000,12754000000,"10036.3790"
"Brazil",6547000,6024000000,"211049.5270"
"Philippines",5967000,5143000000,"108116.6150"
